time,ax (m/s^2),ay (m/s^2),az (m/s^2),aT (m/s^2)
18:26:09:4730,3.4085,-3.3649,3.8253,6.130
18:26:09:4810,2.4265,-3.3442,5.1118,6.573
18:26:09:4940,3.0948,-3.5465,6.9652,8.406
18:26:09:5000,4.0363,-3.1975,7.3483,8.973
18:26:09:5140,3.8738,-2.6536,5.3303,7.104
18:26:09:5200,2.6281,-2.1070,1.8825,3.859
18:26:09:5340,0.1083,-1.3296,-2.8323,3.131
18:26:09:5400,-0.5204,-1.0485,-4.6155,4.762
18:26:09:5510,-0.9486,-1.0130,-4.3563,4.572
18:26:09:5600,-1.1736,-1.3062,-5.8220,6.081
18:26:09:5729,-1.1093,-0.5879,-3.9201,4.116
18:26:09:5800,-0.0186,0.5145,-2.2604,2.318
18:26:09:5930,0.5262,2.8348,2.1577,3.601
18:26:09:6010,1.0505,4.1791,3.4761,5.536
18:26:09:6130,-0.9149,6.0364,6.6422,9.022
18:26:09:6200,-2.8319,6.8315,7.4866,10.523
18:26:09:6350,-3.3005,8.2631,8.3748,12.219
18:26:09:6400,-4.8215,9.5226,8.8863,13.889
18:26:09:6530,-4.0677,12.5875,8.7058,15.836
18:26:09:6600,-2.7035,13.5598,7.2844,15.628
18:26:09:6730,-0.8438,15.2300,7.9398,17.196
18:26:09:6800,-1.2088,14.3698,7.1821,16.110
18:26:09:6929,-0.7504,14.6526,8.6531,17.033
18:26:09:7010,-2.7075,12.4507,5.8577,14.024
18:26:09:7140,-3.9366,11.5296,5.4204,13.335
18:26:09:7200,-4.1844,10.9625,4.5089,12.570
18:26:09:7350,-1.8273,10.6784,5.7849,12.281
18:26:09:7410,-0.5080,9.9943,7.2190,12.339
18:26:09:7520,1.2302,8.5886,7.6079,11.539
18:26:09:7600,2.6601,7.9243,8.0392,11.597
18:26:09:7760,5.5193,6.5942,8.8077,12.309
18:26:09:7800,6.0657,5.9361,8.6303,12.104
18:26:09:7900,6.7914,4.7055,8.1291,11.591
18:26:09:8010,7.2055,3.4357,7.7563,11.130
18:26:09:8110,7.1344,1.8481,7.2011,10.304
18:26:09:8200,6.3361,0.2567,6.4475,9.043
18:26:09:8350,6.2060,-1.1465,5.7841,8.561
18:26:09:8400,6.6942,-1.8072,5.8491,9.071
18:26:09:8510,6.6789,-2.2964,5.5659,8.992
18:26:09:8600,7.2890,-2.5544,4.4372,8.907
18:26:09:8710,6.8777,-3.3076,3.8525,8.549
18:26:09:8810,7.3862,-3.4761,1.6112,8.321
18:26:09:8920,5.6493,-4.4858,0.8262,7.261
18:26:09:9000,4.8419,-5.5401,-0.5890,7.381
18:26:09:9130,3.0887,-6.8985,-2.0955,7.844
18:26:09:9220,0.2439,-7.9150,-3.0615,8.490
18:26:09:9310,-2.1146,-9.4188,-3.4150,10.239
